iter	Logloss
0	0.670816826
1	0.6514279347
2	0.6338772399
3	0.6190449268
4	0.6038487706
5	0.5914341934
6	0.5781970453
7	0.5693638045
8	0.5578063974
9	0.5488190165
10	0.5428446812
11	0.5348379529
12	0.5274823571
13	0.5213912815
14	0.5169564871
15	0.5120616098
16	0.5084682572
17	0.504158566
18	0.5002852318
19	0.4967194698
20	0.4927019223
21	0.4911180715
22	0.4885855057
23	0.4860236406
24	0.484205554
25	0.4820086372
26	0.4796348353
27	0.4771515509
28	0.4757005175
29	0.4734805142
30	0.4715814935
31	0.4703839104
32	0.4685759067
33	0.4671371148
34	0.4658756184
35	0.4643205023
36	0.463898451
37	0.4626055446
38	0.4613489912
39	0.4600692717
40	0.458969818
41	0.4580567525
42	0.4565380472
43	0.4559252537
44	0.4551150747
45	0.4542890624
46	0.45336636
47	0.4520890538
48	0.4520682049
49	0.4511105523
50	0.4507877862
51	0.4500885211
52	0.4493818145
53	0.4488716132
54	0.4485745148
55	0.4478876836
56	0.4472399743
57	0.4472317338
58	0.44657987
59	0.4462946845
60	0.4451924471
61	0.444806966
62	0.4445156686
63	0.4435317286
64	0.4430493587
65	0.4424245396
66	0.4419247555
67	0.4415495691
68	0.4408184741
69	0.440662271
70	0.4404135604
71	0.4403059313
72	0.4399225932
73	0.4397980601
74	0.4394184033
75	0.4392377453
76	0.4389494545
77	0.4385609479
78	0.4381349179
79	0.4380560005
80	0.4376793899
81	0.4375513748
82	0.4371995754
83	0.4369363423
84	0.4363305845
85	0.4362758638
86	0.4356976973
87	0.4356297335
88	0.4352186458
89	0.4349868558
90	0.434429427
91	0.4339725613
92	0.4339533468
93	0.4338805001
94	0.4333623224
95	0.4326423471
96	0.4326422395
97	0.4325292233
98	0.4322176634
99	0.432165376
100	0.4319904205
101	0.4313814588
102	0.4311678561
103	0.43065612
104	0.4305674082
105	0.430289165
106	0.4299511324
107	0.4296368803
108	0.4287618409
109	0.4287527286
110	0.4284898237
111	0.4284897945
112	0.4284679325
113	0.4283203273
114	0.4277836438
115	0.4272465115
116	0.4267488365
117	0.4261371935
118	0.425669991
119	0.4256270097
120	0.4252805607
121	0.4250687924
122	0.4248674738
123	0.4247628148
124	0.4244247915
125	0.4243113695
126	0.4239139386
127	0.4238164019
128	0.4236450928
129	0.4235476179
130	0.4235191744
131	0.4231746732
132	0.4228849578
133	0.4226805649
134	0.4226249576
135	0.4223488907
136	0.4222514591
137	0.4219929745
138	0.4218873193
139	0.421887319
140	0.4218822244
141	0.4216130521
142	0.4214040097
143	0.4214030516
144	0.4207759918
145	0.4203920351
146	0.4202004158
147	0.4200175899
148	0.4194579994
149	0.419013798
150	0.4190137419
151	0.4186594612
152	0.4183255304
153	0.4179836934
154	0.4178842681
155	0.4174854303
156	0.4174184686
157	0.4173284828
158	0.4170413191
159	0.4169734142
160	0.4164906699
161	0.4164276598
162	0.4162776104
163	0.4161772629
164	0.4161207674
165	0.4158021167
166	0.4158021138
167	0.4154406994
168	0.4151764058
169	0.4149466828
170	0.4147331432
171	0.414470437
172	0.4142673726
173	0.4140094916
174	0.4139494443
175	0.4137704617
176	0.4133917242
177	0.4131666351
178	0.4130788317
179	0.4127780515
180	0.4125353485
181	0.4119219935
182	0.41143487
183	0.4114224042
184	0.410608258
185	0.4103627842
186	0.410362783
187	0.4103134467
188	0.4098097629
189	0.4098089446
190	0.4094496733
191	0.4087887718
192	0.4087875992
193	0.408574331
194	0.4081260759
195	0.4080299266
196	0.407582601
197	0.4071945148
198	0.4070199227
199	0.4067815827
200	0.4065755731
201	0.4065366814
202	0.4062466255
203	0.4060555651
204	0.4056493892
205	0.4049803883
206	0.4046250732
207	0.404496518
208	0.4044964456
209	0.4043293124
210	0.4041630987
211	0.4038033033
212	0.4034372092
213	0.4028987326
214	0.4027969211
215	0.4027455649
216	0.402741983
217	0.4024519126
218	0.4019249065
219	0.4014536821
220	0.4010398606
221	0.4007727454
222	0.400517272
223	0.4000266367
224	0.3996352484
225	0.3991884871
226	0.3990191528
227	0.398618038
228	0.3982368874
229	0.3978247885
230	0.397589666
231	0.3972763416
232	0.3968325465
233	0.39630916
234	0.3960387097
235	0.3957998307
236	0.3954472535
237	0.3951446421
238	0.3950709241
239	0.3949009188
240	0.3948911968
241	0.3945507418
242	0.3941276489
243	0.3936819596
244	0.3932112814
245	0.3928591474
246	0.3926706018
247	0.3923560938
248	0.3918684982
249	0.3918449901
250	0.3914463443
251	0.3912407662
252	0.3909970361
253	0.3906644267
254	0.3901631709
255	0.3898983205
256	0.3894583126
257	0.3890639274
258	0.3888063572
259	0.3885641129
260	0.3885620958
261	0.3884413971
262	0.3880037131
263	0.3877447258
264	0.3874264415
265	0.3870108318
266	0.3868937567
267	0.386644416
268	0.386322658
269	0.386002257
270	0.3858507278
271	0.385548575
272	0.3852478161
273	0.3851644376
274	0.384625561
275	0.3842955067
276	0.3841527817
277	0.3840271605
278	0.3839260212
279	0.3836767382
280	0.3835060374
281	0.3828720889
282	0.3823932865
283	0.382232726
284	0.3820121265
285	0.3816755301
286	0.3816711414
287	0.3812286613
288	0.3809049473
289	0.3804772263
290	0.3803497038
291	0.3801085856
292	0.3797454129
293	0.3792265523
294	0.3789367604
295	0.378743669
296	0.3782038751
297	0.3778881579
298	0.3777769012
299	0.3775057226
300	0.3773677014
301	0.3768982925
302	0.3766056396
303	0.376531721
304	0.3760338366
305	0.3757466723
306	0.3753861377
307	0.3750491507
308	0.374787589
309	0.3745405239
310	0.374358854
311	0.3742344331
312	0.3740864488
313	0.3738943564
314	0.3737579179
315	0.3735352467
316	0.3730920044
317	0.3726326707
318	0.3724486936
319	0.3723030165
320	0.3720483184
321	0.3720466722
322	0.3720445938
323	0.371956251
324	0.3717143183
325	0.3714048472
326	0.3711477885
327	0.3707140374
328	0.370366203
329	0.3700523001
330	0.3697235644
331	0.3697113127
332	0.3696860213
333	0.3695837278
334	0.3695754589
335	0.3695184087
336	0.3691455561
337	0.3687072282
338	0.3684803236
339	0.3683826237
340	0.3683791968
341	0.3683422448
342	0.3678699092
343	0.3674745611
344	0.3672516758
345	0.3671978178
346	0.3671209065
347	0.3668406243
348	0.3667533252
349	0.3667227919
350	0.3666471245
351	0.3664333224
352	0.3662995986
353	0.3660975213
354	0.3659821807
355	0.365836451
356	0.3654933665
357	0.3654782314
358	0.3651138443
359	0.3648459459
360	0.3644812193
361	0.3644764208
362	0.364009146
363	0.3636837898
364	0.3634285896
365	0.3634260248
366	0.3630811237
367	0.362767535
368	0.3625978187
369	0.3624180317
370	0.3623410901
371	0.3621263507
372	0.3619875454
373	0.3619804336
374	0.3616801398
375	0.361398407
376	0.3611545161
377	0.3609653849
378	0.3607813488
379	0.3603645404
380	0.3602478512
381	0.3598857745
382	0.3595199967
383	0.3593568641
384	0.359259417
385	0.3588876361
386	0.3586300017
387	0.3585201496
388	0.3583902851
389	0.3580933752
390	0.3577777874
391	0.357773117
392	0.3575298739
393	0.3572553365
394	0.3570107269
395	0.3568646885
396	0.356419193
397	0.3561515377
398	0.3559233826
399	0.3557968669
400	0.3554374455
401	0.3553084566
402	0.3552344054
403	0.3550692622
404	0.3549997414
405	0.3545036283
406	0.3542653698
407	0.3540020832
408	0.3539405773
409	0.3535270719
410	0.3534016575
411	0.353377062
412	0.3533176908
413	0.3530892787
414	0.3529464199
415	0.3527693233
416	0.352679708
417	0.3523404762
418	0.3521425094
419	0.351902124
420	0.3518166604
421	0.3514878335
422	0.3514303794
423	0.3509970822
424	0.3508657856
425	0.3506941342
426	0.3506777372
427	0.3506750511
428	0.3503007044
429	0.3502804363
430	0.3501123048
431	0.3499728321
432	0.3497694298
433	0.3495499895
434	0.3493550033
435	0.3489960518
436	0.348721055
437	0.3485966661
438	0.3484833854
439	0.3483500094
440	0.3482524908
441	0.3481736391
442	0.3478620482
443	0.3476031059
444	0.3474966611
445	0.3473394085
446	0.3471574894
447	0.3469735772
448	0.3467373418
449	0.3467046089
450	0.3466854299
451	0.3464505105
452	0.3462812021
453	0.3461703591
454	0.3459644232
455	0.3454522632
456	0.3452897861
457	0.3450425022
458	0.3449518552
459	0.3447868965
460	0.3446117107
461	0.3443850257
462	0.3439413405
463	0.3437815196
464	0.3436469863
465	0.3436002945
466	0.3433694758
467	0.3429205279
468	0.3425958167
469	0.3425280886
470	0.3421263588
471	0.3418525693
472	0.3417114862
473	0.3414527098
474	0.3413173409
475	0.3412951276
476	0.3412647434
477	0.3408975362
478	0.3404847832
479	0.3402442894
480	0.3399096145
481	0.3398815733
482	0.3396538949
483	0.3392182529
484	0.3391450444
485	0.3389668112
486	0.3389310223
487	0.3389075028
488	0.3388079676
489	0.3386221425
490	0.3383373108
491	0.3378700931
492	0.337699059
493	0.3376277353
494	0.3374348184
495	0.3373356673
496	0.3371389826
497	0.3369910647
498	0.3367260226
499	0.3366165246
500	0.336427623
501	0.3360652795
502	0.3359697376
503	0.3359330041
504	0.3357806299
505	0.3353862537
506	0.3353689008
507	0.3353465828
508	0.3353202158
509	0.3350628893
510	0.3346800054
511	0.3345004787
512	0.3342236273
513	0.3341279201
514	0.3338575587
515	0.3336645155
516	0.333580966
517	0.3332356913
518	0.3330714444
519	0.3330466883
520	0.3329662803
521	0.3326594083
522	0.3322901298
523	0.3321647345
524	0.3319257004
525	0.3316761051
526	0.3314442474
527	0.3313792975
528	0.331024521
529	0.3308034517
530	0.3307785302
531	0.3305082494
532	0.3303600048
533	0.3301236389
534	0.3299013385
535	0.3298562533
536	0.3297450846
537	0.3295205215
538	0.329445998
539	0.3294189498
540	0.3291650718
541	0.3288884375
542	0.3287808089
543	0.3285882879
544	0.3285004125
545	0.3283011256
546	0.3281865152
547	0.3278165114
548	0.3275505827
549	0.3273824784
550	0.3272561952
551	0.3270795832
552	0.3268968636
553	0.3267397188
