iter	Passed	Remaining
0	21	21853
1	43	21892
2	65	21898
3	84	21024
4	100	19956
5	114	19003
6	131	18587
7	149	18591
8	164	18149
9	182	18037
10	204	18405
11	227	18725
12	252	19198
13	272	19222
14	295	19427
15	319	19627
16	349	20213
17	375	20467
18	395	20400
19	421	20677
20	445	20757
21	470	20936
22	494	20994
23	511	20802
24	533	20821
25	557	20873
26	585	21096
27	611	21215
28	630	21114
29	653	21138
30	679	21240
31	697	21088
32	721	21153
33	746	21197
34	764	21070
35	785	21038
36	808	21050
37	833	21097
38	856	21109
39	875	21007
40	892	20886
41	914	20854
42	927	20647
43	948	20597
44	971	20620
45	982	20381
46	1002	20326
47	1026	20361
48	1046	20313
49	1062	20182
50	1077	20049
51	1094	19950
52	1113	19896
53	1135	19900
54	1144	19669
55	1166	19659
56	1186	19636
57	1207	19619
58	1237	19730
59	1261	19761
60	1288	19828
61	1310	19821
62	1333	19836
63	1342	19635
64	1368	19688
65	1389	19670
66	1414	19701
67	1443	19783
68	1462	19730
69	1486	19755
70	1516	19845
71	1535	19794
72	1555	19752
73	1575	19714
74	1585	19555
75	1602	19485
76	1623	19464
77	1649	19492
78	1676	19545
79	1689	19426
80	1702	19310
81	1715	19207
82	1736	19180
83	1760	19197
84	1780	19170
85	1807	19205
86	1827	19179
87	1859	19272
88	1884	19292
89	1904	19260
90	1925	19233
91	1942	19168
92	1965	19171
93	1990	19185
94	2015	19199
95	2037	19182
96	2045	19041
97	2064	19005
98	2090	19025
99	2111	19004
100	2127	18934
101	2138	18829
102	2156	18777
103	2164	18648
104	2177	18558
105	2197	18533
106	2216	18496
107	2234	18453
108	2249	18388
109	2266	18341
110	2283	18286
111	2298	18224
112	2316	18184
113	2337	18164
114	2342	18027
115	2352	17928
116	2375	17929
117	2401	17947
118	2424	17947
119	2452	17987
120	2472	17960
121	2496	17967
122	2520	17969
123	2541	17957
124	2561	17928
125	2569	17821
126	2590	17810
127	2609	17780
128	2635	17797
129	2659	17800
130	2681	17787
131	2700	17760
132	2713	17691
133	2735	17677
134	2760	17686
135	2782	17677
136	2806	17675
137	2823	17634
138	2849	17647
139	2879	17686
140	2903	17690
141	2926	17684
142	2945	17652
143	2961	17604
144	2984	17597
145	3015	17637
146	3034	17610
147	3047	17546
148	3067	17517
149	3092	17524
150	3111	17495
151	3128	17456
152	3154	17460
153	3176	17448
154	3198	17436
155	3218	17410
156	3243	17414
157	3264	17398
158	3290	17405
159	3320	17433
160	3343	17424
161	3348	17322
162	3370	17307
163	3393	17297
164	3416	17289
165	3424	17205
166	3448	17198
167	3472	17197
168	3492	17174
169	3516	17170
170	3545	17188
171	3564	17158
172	3594	17183
173	3612	17148
174	3633	17127
175	3658	17129
176	3682	17122
177	3706	17118
178	3730	17111
179	3755	17107
180	3777	17094
181	3811	17130
182	3841	17148
183	3861	17125
184	3884	17113
185	3909	17110
186	3930	17086
187	3950	17064
188	3972	17044
189	3992	17020
190	4015	17009
191	4031	16964
192	4040	16896
193	4059	16864
194	4082	16853
195	4090	16780
196	4113	16765
197	4135	16751
198	4159	16742
199	4186	16744
200	4211	16739
201	4233	16725
202	4254	16705
203	4281	16707
204	4308	16709
205	4328	16682
206	4350	16667
207	4361	16608
208	4384	16594
209	4404	16570
210	4422	16537
211	4443	16514
212	4466	16501
213	4484	16472
214	4502	16441
215	4519	16403
216	4536	16369
217	4553	16333
218	4573	16309
219	4593	16286
220	4612	16257
221	4628	16219
222	4646	16190
223	4665	16162
224	4685	16139
225	4703	16109
226	4720	16073
227	4739	16048
228	4757	16017
229	4778	15996
230	4803	15992
231	4825	15973
232	4850	15967
233	4873	15952
234	4893	15930
235	4912	15902
236	4930	15873
237	4953	15859
238	4970	15826
239	4987	15795
240	5006	15767
241	5016	15713
242	5033	15682
243	5052	15653
244	5071	15627
245	5088	15596
246	5107	15569
247	5125	15540
248	5144	15515
249	5161	15484
250	5182	15463
251	5205	15450
252	5228	15436
253	5252	15426
254	5276	15416
255	5298	15400
256	5322	15388
257	5345	15372
258	5363	15346
259	5384	15324
260	5406	15308
261	5427	15287
262	5445	15259
263	5462	15228
264	5478	15195
265	5496	15167
266	5515	15140
267	5539	15131
268	5560	15111
269	5581	15091
270	5603	15072
271	5623	15050
272	5644	15030
273	5663	15005
274	5683	14984
275	5703	14960
276	5725	14944
277	5747	14925
278	5764	14897
279	5783	14872
280	5802	14846
281	5818	14813
282	5837	14790
283	5854	14760
284	5876	14741
285	5894	14716
286	5914	14693
287	5933	14669
288	5951	14642
289	5972	14621
290	5990	14596
291	6008	14567
292	6027	14543
293	6051	14531
294	6073	14513
295	6091	14487
296	6111	14465
297	6128	14438
298	6144	14405
299	6160	14374
300	6178	14348
301	6197	14324
302	6215	14298
303	6234	14273
304	6250	14243
305	6270	14221
306	6286	14189
307	6308	14174
308	6332	14159
309	6350	14135
310	6371	14115
311	6392	14095
312	6411	14072
313	6431	14051
314	6457	14041
315	6483	14033
316	6506	14018
317	6527	13999
318	6549	13981
319	6571	13964
320	6589	13938
321	6611	13921
322	6632	13900
323	6653	13882
324	6677	13869
325	6708	13870
326	6731	13853
327	6752	13834
328	6775	13818
329	6797	13801
330	6823	13791
331	6845	13772
332	6866	13753
333	6886	13731
334	6909	13715
335	6937	13708
336	6958	13689
337	6980	13672
338	7002	13654
339	7027	13640
340	7049	13622
341	7074	13610
342	7097	13594
343	7121	13580
344	7146	13567
345	7164	13542
346	7190	13531
347	7211	13511
348	7229	13485
349	7253	13470
350	7271	13445
351	7289	13419
352	7307	13392
353	7328	13373
354	7352	13357
355	7377	13345
356	7404	13336
357	7433	13330
358	7451	13305
359	7471	13283
360	7495	13268
361	7514	13243
362	7538	13228
363	7555	13200
